Parameter,Cell_A,Cell_B,cliffs_delta,p_raw,p_holm
Re,B0005,B0006,-0.967,2.95e-47,1.77e-46
Re,B0005,B0007,0.144,3.21e-02,3.21e-02
Re,B0005,B0018,-0.912,1.01e-39,4.03e-39
Re,B0006,B0007,0.912,3.40e-42,1.70e-41
Re,B0006,B0018,0.68,8.38e-23,1.68e-22
Re,B0007,B0018,-0.708,1.39e-24,4.18e-24
Rct,B0005,B0006,-0.751,3.90e-29,1.95e-28
Rct,B0005,B0007,0.17,1.14e-02,1.14e-02
Rct,B0005,B0018,-0.772,5.92e-29,2.37e-28
Rct,B0006,B0007,0.826,6.30e-35,3.78e-34
Rct,B0006,B0018,0.428,6.05e-10,1.21e-09
Rct,B0007,B0018,-0.688,2.37e-23,7.10e-23
Capacity_Ah,B0005,B0006,0.083,1.90e-01,5.69e-01
Capacity_Ah,B0005,B0007,-0.254,5.86e-05,2.34e-04
Capacity_Ah,B0005,B0018,0.029,6.65e-01,6.65e-01
Capacity_Ah,B0006,B0007,-0.277,1.12e-05,5.61e-05
Capacity_Ah,B0006,B0018,-0.077,2.55e-01,5.69e-01
Capacity_Ah,B0007,B0018,0.323,1.59e-06,9.55e-06
