Parameter,Battery,slope,intercept,R2,pval,n
Re,B0005,0.00011269,0.043855,0.7304,0.0,149
Re,B0006,0.00012452,0.058556,0.9294,0.0,149
Re,B0007,0.00018288,0.035392,0.9304,0.0,149
Re,B0018,3.745e-05,0.060455,0.6323,0.0,132
Rct,B0005,0.00014725,0.065447,0.8534,0.0,149
Rct,B0006,0.00019404,0.075918,0.9334,0.0,149
Rct,B0007,0.0002078,0.056976,0.9547,0.0,149
Rct,B0018,1.973e-05,0.086596,0.0922,0.00040124,132
Capacity_Ah,B0005,-0.00386661,1.899231,0.9756,0.0,168
Capacity_Ah,B0006,-0.00508662,1.97667,0.9637,0.0,168
Capacity_Ah,B0007,-0.00326948,1.920693,0.9763,0.0,168
Capacity_Ah,B0018,-0.00392614,1.818789,0.9401,0.0,132
